地区名称 机构名称 机构类型 地区名称
贵州省 六盘水市 六枝特区 九龙社区卫生计生院
贵州省 六盘水市 六枝特区 六枝特区中寨乡卫生院
贵州省 六盘水市 六枝特区 六枝特区大用镇卫生院
贵州省 六盘水市 六枝特区 六枝特区岩脚镇卫生院
贵州省 六盘水市 六枝特区 六枝特区平寨镇卫生院
贵州省 六盘水市 六枝特区 六枝特区新华镇卫生计生院
贵州省 六盘水市 六枝特区 六枝特区新场乡卫生院
贵州省 六盘水市 六枝特区 六枝特区新窑镇卫生计生院
贵州省 六盘水市 六枝特区 六枝特区木岗镇卫生院
贵州省 六盘水市 六枝特区 六枝特区梭嘎乡卫生院
贵州省 六盘水市 六枝特区 六枝特区牂牁镇卫生计生院
贵州省 六盘水市 六枝特区 六枝特区牛场乡卫生院
贵州省 六盘水市 六枝特区 六枝特区落别乡卫生院
贵州省 六盘水市 六枝特区 六枝特区郎岱镇卫生计生院
贵州省 六盘水市 六枝特区 六枝特区龙河镇卫生计生院
贵州省 六盘水市 六枝特区 关寨镇卫生计生院
贵州省 六盘水市 六枝特区 塔山社区卫生计生院
贵州省 六盘水市 六枝特区 月亮河乡卫生计生院
贵州省 六盘水市 六枝特区 银壶社区卫生计生院
贵州省 六盘水市 水城县 水城县保华镇中心卫生院
贵州省 六盘水市 水城县 水城县勺米乡卫生院
贵州省 六盘水市 水城县 水城县化乐乡卫生院
贵州省 六盘水市 水城县 水城县南开乡卫生院
贵州省 六盘水市 水城县 水城县双水街道办卫生计生院
贵州省 六盘水市 水城县 水城县发耳乡卫生院
贵州省 六盘水市 水城县 水城县坪寨乡卫生院
贵州省 六盘水市 水城县 水城县尖山街道办卫生计生院
贵州省 六盘水市 水城县 水城县新街乡卫生院
贵州省 六盘水市 水城县 水城县木果乡卫生院
贵州省 六盘水市 水城县 水城县杨梅乡卫生院
贵州省 六盘水市 水城县 水城县果布嘎乡卫生院
贵州省 六盘水市 水城县 水城县比德乡卫生院
贵州省 六盘水市 水城县 水城县猴场乡卫生院
贵州省 六盘水市 水城县 水城县玉舍镇中心卫生院
贵州省 六盘水市 水城县 水城县米箩乡卫生院
贵州省 六盘水市 水城县 水城县老鹰山街道办卫生计生院
贵州省 六盘水市 水城县 水城县花嘎乡卫生院
贵州省 六盘水市 水城县 水城县营盘乡卫生院
贵州省 六盘水市 水城县 水城县董地乡卫生院
贵州省 六盘水市 水城县 水城县蟠龙乡卫生院
贵州省 六盘水市 水城县 水城县都格乡卫生院
贵州省 六盘水市 水城县 水城县野钟乡卫生院
贵州省 六盘水市 水城县 水城县金盆乡卫生院
贵州省 六盘水市 水城县 水城县阿嘎镇中心卫生院
贵州省 六盘水市 水城县 水城县陡箐镇中心卫生院
贵州省 六盘水市 水城县 水城县青林乡卫生院
贵州省 六盘水市 水城县 水城县顺场乡卫生院
贵州省 六盘水市 水城县 水城县鸡场乡卫生院
贵州省 六盘水市 水城县 水城县龙场乡卫生院
贵州省 六盘水市 盘州市 亦资街道办卫生计生院
贵州省 六盘水市 盘州市 双凤镇卫生计生院
贵州省 六盘水市 盘州市 盘关镇卫生计生院
贵州省 六盘水市 盘州市 盘县两河街道办卫生计生院
贵州省 六盘水市 盘州市 盘县丹霞镇卫生计生院
贵州省 六盘水市 盘州市 盘县乌蒙镇卫生计生院
贵州省 六盘水市 盘州市 盘县保基乡卫生院
贵州省 六盘水市 盘州市 盘县保田镇卫生计生院
贵州省 六盘水市 盘州市 盘县刘官街道办卫生计生院
贵州省 六盘水市 盘州市 盘县响水镇卫生院
贵州省 六盘水市 盘州市 盘县坪地乡卫生院
贵州省 六盘水市 盘州市 盘县大山镇卫生计生院
贵州省 六盘水市 盘州市 盘县新民乡卫生院
贵州省 六盘水市 盘州市 盘县旧营乡卫生院
贵州省 六盘水市 盘州市 盘县普古乡卫生院
贵州省 六盘水市 盘州市 盘县普田乡卫生院
贵州省 六盘水市 盘州市 盘县柏果镇卫生计生院
贵州省 六盘水市 盘州市 盘县民主镇卫生院
贵州省 六盘水市 盘州市 盘县淤泥乡中心卫生院
贵州省 六盘水市 盘州市 盘县石桥镇卫生计生院
贵州省 六盘水市 盘州市 盘县红果街道办卫生计生院
贵州省 六盘水市 盘州市 盘县羊场乡中心卫生院
贵州省 六盘水市 盘州市 盘县英武镇卫生计生院
贵州省 六盘水市 盘州市 盘县鸡场坪镇卫生计生院
贵州省 六盘水市 盘州市 竹海镇卫生计生院
贵州省 六盘水市 盘州市 翰林街道办卫生计生院
贵州省 六盘水市 盘州市 胜境街道办卫生计生院
贵州省 六盘水市 钟山区 杨柳街道卫生服务中心
贵州省 六盘水市 钟山区 红岩街道卫生服务中心
贵州省 六盘水市 钟山区 荷泉街道卫生服务中心
贵州省 六盘水市 钟山区 钟山区凤凰街道办卫生院
贵州省 六盘水市 钟山区 钟山区双戛乡卫生计生院
贵州省 六盘水市 钟山区 钟山区场坝社区服务中心卫计院
贵州省 六盘水市 钟山区 钟山区大河镇卫生院
贵州省 六盘水市 钟山区 钟山区大湾镇卫生院
贵州省 六盘水市 钟山区 钟山区广场社区服务中心卫计院
贵州省 六盘水市 钟山区 钟山区建设路社区服务中心卫计院
贵州省 六盘水市 钟山区 钟山区德坞街道办卫生院
贵州省 六盘水市 钟山区 钟山区明湖社区服务中心卫计院
贵州省 六盘水市 钟山区 钟山区月照乡卫生院
贵州省 六盘水市 钟山区 钟山区杉树林社区服务中心卫计院
贵州省 六盘水市 钟山区 钟山区汪家寨镇卫生院
贵州省 六盘水市 钟山区 钟山区荷城街道办事处卫生院
贵州省 六盘水市 钟山区 钟山区西宁社区服务中心卫计院
贵州省 六盘水市 钟山区 钟山区黄土坡办事处街道卫生院
贵州省 安顺市 关岭县 关岭县上关镇卫生院
贵州省 安顺市 关岭县 关岭县关索街道卫生院
贵州省 安顺市 关岭县 关岭县坡贡镇卫生院
贵州省 安顺市 关岭县 关岭县岗乌镇卫生院
贵州省 安顺市 关岭县 关岭县断桥镇卫生院
贵州省 安顺市 关岭县 关岭县新铺乡卫生院
贵州省 安顺市 关岭县 关岭县普利乡卫生院
贵州省 安顺市 关岭县 关岭县永宁镇卫生院
贵州省 安顺市 关岭县 关岭县沙营镇卫生院
贵州省 安顺市 关岭县 关岭县花江镇卫生院
贵州省 安顺市 关岭县 关岭县顶云街道卫生院
贵州省 安顺市 平坝区 安平街道办事处卫生院
贵州省 安顺市 平坝区 平坝县乐平乡卫生院
贵州省 安顺市 平坝区 平坝县十字乡卫生院
贵州省 安顺市 平坝区 平坝县夏云镇卫生院
贵州省 安顺市 平坝区 平坝县天龙镇卫生院
贵州省 安顺市 平坝区 平坝县白云镇卫生院
贵州省 安顺市 平坝区 平坝县羊昌布衣乡卫生院
贵州省 安顺市 平坝区 平坝县高峰镇卫生院
贵州省 安顺市 平坝区 平坝县齐伯乡卫生院
贵州省 安顺市 平坝区 鼓楼街道卫生院
贵州省 安顺市 开发区 双阳社区卫生服务中心
贵州省 安顺市 开发区 开发区么铺镇中心卫生院
贵州省 安顺市 开发区 开发区宋旗镇卫生院
贵州省 安顺市 普定县 定南街道卫生院
贵州省 安顺市 普定县 普定县化处镇卫生院
贵州省 安顺市 普定县 普定县坪上乡卫生院
贵州省 安顺市 普定县 普定县城关镇卫生院
贵州省 安顺市 普定县 普定县猫洞乡卫生院
贵州省 安顺市 普定县 普定县猴场乡卫生院
贵州省 安顺市 普定县 普定县白岩镇卫生院
贵州省 安顺市 普定县 普定县补郎乡卫生院
贵州省 安顺市 普定县 普定县马场镇卫生院
贵州省 安顺市 普定县 普定县马官镇卫生院
贵州省 安顺市 普定县 普定县鸡场乡卫生院
贵州省 安顺市 普定县 普定县龙场乡卫生院
贵州省 安顺市 普定县 穿洞街道卫生院
贵州省 安顺市 普定县 黄桶街道卫生院
贵州省 安顺市 紫云县 紫云县五峰街道卫生院
贵州省 安顺市 紫云县 紫云县四大寨卫生院
贵州省 安顺市 紫云县 紫云县坝羊乡卫生院
贵州省 安顺市 紫云县 紫云县大营乡卫生院
贵州省 安顺市 紫云县 紫云县宗地镇卫生院
贵州省 安顺市 紫云县 紫云县松山街道卫生院
贵州省 安顺市 紫云县 紫云县板当镇卫生院
贵州省 安顺市 紫云县 紫云县格凸河镇卫生院
贵州省 安顺市 紫云县 紫云县火花镇卫生院
贵州省 安顺市 紫云县 紫云县猫营镇卫生院
贵州省 安顺市 紫云县 紫云县猴场镇卫生院
贵州省 安顺市 紫云县 紫云县白石岩乡卫生院
贵州省 安顺市 紫云县 紫云县达帮乡卫生院
贵州省 安顺市 西秀区 西秀区七眼桥镇卫生院
贵州省 安顺市 西秀区 西秀区东关卫生院
贵州省 安顺市 西秀区 西秀区东关社区卫生服务中心
贵州省 安顺市 西秀区 西秀区东屯乡卫生院
贵州省 安顺市 西秀区 西秀区东街社区卫生服务中心
贵州省 安顺市 西秀区 西秀区刘官乡卫生院
贵州省 安顺市 西秀区 西秀区华西卫生院
贵州省 安顺市 西秀区 西秀区南街社区卫生服务中心
贵州省 安顺市 西秀区 西秀区双堡镇卫生院
贵州省 安顺市 西秀区 西秀区大西桥镇卫生院
贵州省 安顺市 西秀区 西秀区宁谷镇卫生院
贵州省 安顺市 西秀区 西秀区岩腊乡卫生院
贵州省 安顺市 西秀区 西秀区新场乡卫生院
贵州省 安顺市 西秀区 西秀区旧州镇卫生院
贵州省 安顺市 西秀区 西秀区杨武乡卫生院
贵州省 安顺市 西秀区 西秀区武当社区卫生服务站
贵州省 安顺市 西秀区 西秀区蔡官镇卫生院
贵州省 安顺市 西秀区 西秀区西街社区卫生服务中心
贵州省 安顺市 西秀区 西秀区轿子山镇卫生院
贵州省 安顺市 西秀区 西秀区鸡场乡卫生院
贵州省 安顺市 西秀区 西秀区黄腊乡卫生院
贵州省 安顺市 西秀区 西秀区龙宫镇卫生院
贵州省 安顺市 镇宁县 环翠街道社区卫生服务中心
贵州省 安顺市 镇宁县 白马湖街道社区卫生服务中心
贵州省 安顺市 镇宁县 镇宁县丁旗镇卫生院
贵州省 安顺市 镇宁县 镇宁县六马乡卫生院
贵州省 安顺市 镇宁县 镇宁县募役乡卫生院
贵州省 安顺市 镇宁县 镇宁县双龙山街道卫生院
贵州省 安顺市 镇宁县 镇宁县扁担乡卫生院
贵州省 安顺市 镇宁县 镇宁县打邦乡卫生院
贵州省 安顺市 镇宁县 镇宁县本寨乡卫生院
贵州省 安顺市 镇宁县 镇宁县朵卜陇乡卫生院
贵州省 安顺市 镇宁县 镇宁县江龙镇卫生院
贵州省 安顺市 镇宁县 镇宁县沙子乡卫生院
贵州省 安顺市 镇宁县 镇宁县简嘎乡卫生院
贵州省 安顺市 镇宁县 镇宁县良田乡卫生院
贵州省 安顺市 镇宁县 镇宁县革利乡卫生院
贵州省 安顺市 镇宁县 镇宁县马厂乡卫生院
贵州省 安顺市 黄果树管委会 黄果树白水镇卫生院
贵州省 安顺市 黄果树管委会 黄果树镇卫生院
贵州省 安顺市 黄果树管委会 黄果树龙宫镇卫生院
贵州省 毕节市 七星关区 毕节市三板桥办事处社区卫生服务所
贵州省 毕节市 七星关区 毕节市亮岩镇卫生院
贵州省 毕节市 七星关区 毕节市何官屯镇卫生院
贵州省 毕节市 七星关区 毕节市八寨镇卫生院
贵州省 毕节市 七星关区 毕节市千溪乡卫生院
贵州省 毕节市 七星关区 毕节市团结乡卫生院
贵州省 毕节市 七星关区 毕节市大屯乡卫生院
贵州省 毕节市 七星关区 毕节市大新桥办事处社区卫生服务所
贵州省 毕节市 七星关区 毕节市大河乡卫生院
贵州省 毕节市 七星关区 毕节市大银镇卫生院
贵州省 毕节市 七星关区 毕节市对坡镇卫生院
贵州省 毕节市 七星关区 毕节市小吉场镇卫生院
贵州省 毕节市 七星关区 毕节市小坝镇卫生院
贵州省 毕节市 七星关区 毕节市层台镇卫生院
贵州省 毕节市 七星关区 毕节市岔河镇卫生院
贵州省 毕节市 七星关区 毕节市市东办事处社区卫生服务中心
贵州省 毕节市 七星关区 毕节市市西办事处社区卫生服务中心
贵州省 毕节市 七星关区 毕节市撒拉溪镇卫生院
贵州省 毕节市 七星关区 毕节市放珠镇卫生院
贵州省 毕节市 七星关区 毕节市普宜镇卫生院
贵州省 毕节市 七星关区 毕节市朱昌镇卫生院
贵州省 毕节市 七星关区 毕节市杨家湾镇卫生院
贵州省 毕节市 七星关区 毕节市林口镇卫生院
贵州省 毕节市 七星关区 毕节市梨树镇卫生院
贵州省 毕节市 七星关区 毕节市水箐镇卫生院
贵州省 毕节市 七星关区 毕节市流仓桥办事处社区卫生服务所
贵州省 毕节市 七星关区 毕节市海子街镇卫生院
贵州省 毕节市 七星关区 毕节市清水铺镇卫生院
贵州省 毕节市 七星关区 毕节市燕子口镇卫生院
贵州省 毕节市 七星关区 毕节市生机镇卫生院
贵州省 毕节市 七星关区 毕节市田坎乡卫生院
贵州省 毕节市 七星关区 毕节市田坝桥镇卫生院
贵州省 毕节市 七星关区 毕节市田坝镇卫生院
贵州省 毕节市 七星关区 毕节市观音桥办事处社区卫生服务所
贵州省 毕节市 七星关区 毕节市野角乡卫生院
贵州省 毕节市 七星关区 毕节市长春堡镇卫生院
贵州省 毕节市 七星关区 毕节市阴底乡卫生院
贵州省 毕节市 七星关区 毕节市阿市乡卫生院
贵州省 毕节市 七星关区 毕节市青场镇卫生院
贵州省 毕节市 七星关区 毕节市鸭池镇卫生院
贵州省 毕节市 七星关区 毕节市龙场营镇卫生院
贵州省 毕节市 大方县 响水乡卫生院
贵州省 毕节市 大方县 大方县三元乡卫生院
贵州省 毕节市 大方县 大方县东关乡卫生院
贵州省 毕节市 大方县 大方县八堡乡卫生院
贵州省 毕节市 大方县 大方县六龙镇卫生院
贵州省 毕节市 大方县 大方县兴隆乡卫生院
贵州省 毕节市 大方县 大方县凤山乡卫生院
贵州省 毕节市 大方县 大方县双山镇卫生院
贵州省 毕节市 大方县 大方县大山乡卫生院
贵州省 毕节市 大方县 大方县大水乡卫生院
贵州省 毕节市 大方县 大方县安乐乡卫生院
贵州省 毕节市 大方县 大方县对江镇卫生院
贵州省 毕节市 大方县 大方县小屯乡卫生院
贵州省 毕节市 大方县 大方县慕俄格社区卫生服务中心
贵州省 毕节市 大方县 大方县文阁乡卫生院
贵州省 毕节市 大方县 大方县星宿乡卫生院
贵州省 毕节市 大方县 大方县果瓦乡卫生院
贵州省 毕节市 大方县 大方县核桃乡卫生院
贵州省 毕节市 大方县 大方县沙厂乡卫生院
贵州省 毕节市 大方县 大方县牛场乡卫生院
贵州省 毕节市 大方县 大方县猫场镇卫生院
贵州省 毕节市 大方县 大方县理化乡卫生院
贵州省 毕节市 大方县 大方县瓢井镇卫生院
贵州省 毕节市 大方县 大方县百纳乡卫生院
贵州省 毕节市 大方县 大方县竹园乡卫生院
贵州省 毕节市 大方县 大方县红旗街道社区卫生服务中心
贵州省 毕节市 大方县 大方县绿塘乡卫生院
贵州省 毕节市 大方县 大方县羊场镇卫生院
贵州省 毕节市 大方县 大方县达溪镇卫生院
贵州省 毕节市 大方县 大方县长石镇卫生院
贵州省 毕节市 大方县 大方县雨冲乡卫生院
贵州省 毕节市 大方县 大方县顺德街道社区卫生服务中心
贵州省 毕节市 大方县 大方县马场镇卫生院
贵州省 毕节市 大方县 大方县鸡场乡卫生院
贵州省 毕节市 大方县 大方县黄泥乡卫生院
贵州省 毕节市 大方县 大方县黄泥塘镇卫生院
贵州省 毕节市 大方县 大方县鼎新乡卫生院
贵州省 毕节市 威宁县 五里岗街道卫生计生服务中心
贵州省 毕节市 威宁县 威宁县东风镇卫生院
贵州省 毕节市 威宁县 威宁县中水镇卫生院
贵州省 毕节市 威宁县 威宁县么站镇卫生院
贵州省 毕节市 威宁县 威宁县二塘镇卫生院
贵州省 毕节市 威宁县 威宁县云贵乡卫生院
贵州省 毕节市 威宁县 威宁县兔街镇卫生院
贵州省 毕节市 威宁县 威宁县六桥街道社区卫生服务中心
贵州省 毕节市 威宁县 威宁县双龙乡卫生院
贵州省 毕节市 威宁县 威宁县哈喇河乡卫生院
贵州省 毕节市 威宁县 威宁县哲觉镇卫生院
贵州省 毕节市 威宁县 威宁县大街乡卫生院
贵州省 毕节市 威宁县 威宁县小海镇卫生院
贵州省 毕节市 威宁县 威宁县岔河乡卫生院
贵州省 毕节市 威宁县 威宁县斗古乡卫生院
贵州省 毕节市 威宁县 威宁县新发乡卫生院
贵州省 毕节市 威宁县 威宁县板底乡卫生院
贵州省 毕节市 威宁县 威宁县海拉乡卫生院
贵州省 毕节市 威宁县 威宁县海边社区卫生服务中心
贵州省 毕节市 威宁县 威宁县炉山镇卫生院
贵州省 毕节市 威宁县 威宁县牛棚镇卫生院
贵州省 毕节市 威宁县 威宁县猴场镇卫生院
贵州省 毕节市 威宁县 威宁县玉龙乡卫生院
贵州省 毕节市 威宁县 威宁县盐仓镇卫生院
贵州省 毕节市 威宁县 威宁县石门乡卫生院
贵州省 毕节市 威宁县 威宁县秀水乡卫生院
贵州省 毕节市 威宁县 威宁县羊街镇卫生院
贵州省 毕节市 威宁县 威宁县草海镇卫生院
贵州省 毕节市 威宁县 威宁县观风镇卫生院
贵州省 毕节市 威宁县 威宁县迤那镇卫生院
贵州省 毕节市 威宁县 威宁县金斗乡卫生院
贵州省 毕节市 威宁县 威宁县金钟镇卫生院
贵州省 毕节市 威宁县 威宁县雪山镇卫生院
贵州省 毕节市 威宁县 威宁县麻乍乡卫生院
贵州省 毕节市 威宁县 威宁县黑土河乡卫生院
贵州省 毕节市 威宁县 威宁县黑石镇卫生院
贵州省 毕节市 威宁县 威宁县龙场镇卫生院
贵州省 毕节市 威宁县 威宁县龙街镇卫生院
贵州省 毕节市 威宁县 陕桥街道卫生计生服务中心
贵州省 毕节市 百里杜鹃风景名胜区管理委员会 仁和乡卫生院
贵州省 毕节市 百里杜鹃风景名胜区管理委员会 大水乡卫生院
贵州省 毕节市 百里杜鹃风景名胜区管理委员会 普底乡卫生院
贵州省 毕节市 百里杜鹃风景名胜区管理委员会 百里杜鹃沙厂乡卫生院
贵州省 毕节市 百里杜鹃风景名胜区管理委员会 百里杜鹃百纳卫生院
贵州省 毕节市 百里杜鹃风景名胜区管理委员会 金坡乡卫生院
贵州省 毕节市 百里杜鹃风景名胜区管理委员会 黄泥乡卫生院
贵州省 毕节市 纳雍县 农贸社区卫生服务中心
贵州省 毕节市 纳雍县 沿河社区卫生服务中心
贵州省 毕节市 纳雍县 纳雍县中岭镇卫生院
贵州省 毕节市 纳雍县 纳雍县乐治镇卫生院
贵州省 毕节市 纳雍县 纳雍县勺窝乡卫生院
贵州省 毕节市 纳雍县 纳雍县化作乡卫生院
贵州省 毕节市 纳雍县 纳雍县厍东关乡卫生院
贵州省 毕节市 纳雍县 纳雍县姑开乡卫生院
贵州省 毕节市 纳雍县 纳雍县寨乐乡卫生院
贵州省 毕节市 纳雍县 纳雍县居仁街道卫生院
贵州省 毕节市 纳雍县 纳雍县左鸠嘎乡卫生院
贵州省 毕节市 纳雍县 纳雍县张家湾镇卫生院
贵州省 毕节市 纳雍县 纳雍县文昌街道卫生和计划生育管理服务中心
贵州省 毕节市 纳雍县 纳雍县新房乡卫生院
贵州省 毕节市 纳雍县 纳雍县昆寨乡卫生院
贵州省 毕节市 纳雍县 纳雍县曙光乡卫生院
贵州省 毕节市 纳雍县 纳雍县水东乡卫生院
贵州省 毕节市 纳雍县 纳雍县沙包乡卫生院
贵州省 毕节市 纳雍县 纳雍县猪场乡卫生院
贵州省 毕节市 纳雍县 纳雍县玉龙坝镇卫生院
贵州省 毕节市 纳雍县 纳雍县百兴镇卫生院
贵州省 毕节市 纳雍县 纳雍县维新镇卫生院
贵州省 毕节市 纳雍县 纳雍县羊场乡卫生院
贵州省 毕节市 纳雍县 纳雍县董地乡卫生院
贵州省 毕节市 纳雍县 纳雍县锅圈岩乡卫生院
贵州省 毕节市 纳雍县 纳雍县阳长镇卫生院
贵州省 毕节市 纳雍县 纳雍县雍熙镇卫生院
贵州省 毕节市 纳雍县 纳雍县龙场镇卫生院
贵州省 毕节市 织金县 织金县三塘镇卫生院
贵州省 毕节市 织金县 织金县三甲街道卫生院
贵州省 毕节市 织金县 织金县上坪寨乡卫生院
贵州省 毕节市 织金县 织金县中寨乡卫生院
贵州省 毕节市 织金县 织金县以那镇卫生院
贵州省 毕节市 织金县 织金县八步街道卫生院
贵州省 毕节市 织金县 织金县化起镇卫生院
贵州省 毕节市 织金县 织金县双堰街道社区卫生服务中心
贵州省 毕节市 织金县 织金县后寨乡卫生院
贵州省 毕节市 织金县 织金县大平乡卫生院
贵州省 毕节市 织金县 织金县官寨乡卫生院
贵州省 毕节市 织金县 织金县实兴乡卫生院
贵州省 毕节市 织金县 织金县少普乡卫生院
贵州省 毕节市 织金县 织金县文腾社区卫生服务中心
贵州省 毕节市 织金县 织金县普翁乡卫生院
贵州省 毕节市 织金县 织金县板桥乡卫生院
贵州省 毕节市 织金县 织金县桂果镇卫生院
贵州省 毕节市 织金县 织金县熊家场乡卫生院
贵州省 毕节市 织金县 织金县牛场镇卫生院
贵州省 毕节市 织金县 织金县猫场镇卫生院
贵州省 毕节市 织金县 织金县珠藏镇卫生院
贵州省 毕节市 织金县 织金县白泥乡卫生院
贵州省 毕节市 织金县 织金县纳雍乡卫生院
贵州省 毕节市 织金县 织金县绮陌街道卫生院
贵州省 毕节市 织金县 织金县自强乡卫生院
贵州省 毕节市 织金县 织金县茶店乡卫生院
贵州省 毕节市 织金县 织金县金龙乡卫生院
贵州省 毕节市 织金县 织金县阿弓镇卫生院
贵州省 毕节市 织金县 织金县马场乡卫生院
贵州省 毕节市 织金县 织金县鸡场乡卫生院
